년,월,국적지역,등록외국인 수
2022,01,바누아투,6
2022,01,레소토,4
2022,01,코모로,1
2022,01,몰디브,2
2022,01,팔라우,2
2022,01,벨리즈,4
2022,01,도미니카연방,7
2022,01,나미비아,2
2022,01,파푸아뉴기니,5
2022,01,통가,1
2022,01,바베이도스,3
2022,01,나우루,2
2022,01,지부티,1
2022,01,안도라,1
2022,01,수리남,2
2022,01,세인트루시아,2
2022,01,세이셸,2
2022,01,가이아나,4
2022,01,교황청,2
2022,01,마샬군도,1
2022,01,영국속령지시민,1
2022,01,영국외지시민,1
2022,01,홍콩거주난민,1
2022,02,중국,168343
2022,02,한국계중국인,250391
2022,02,베트남,176696
2022,02,우즈베키스탄,43427
2022,02,필리핀,37957
2022,02,캄보디아,40449
2022,02,네팔,35658
2022,02,인도네시아,31055
2022,02,태국,31761
2022,02,미얀마,24440
2022,02,미국,29427
2022,02,몽골,24181
2022,02,일본,24109
2022,02,스리랑카,19100
2022,02,타이완,17537
2022,02,카자흐스탄,13719
2022,02,방글라데시,13349
2022,02,러시아연방,13855
2022,02,파키스탄,10202
2022,02,인도,10098
2022,02,키르기즈,4295
2022,02,영국,4733
2022,02,캐나다,4203
2022,02,말레이시아,3248
2022,02,프랑스,3204
2022,02,우크라이나,2449
2022,02,이집트,2489
2022,02,남아프리카공화국,2591
2022,02,나이지리아,2415
2022,02,티모르민주공화국,2295
2022,02,독일,2139
2022,02,홍콩,1859
2022,02,오스트레일리아,1667
2022,02,시리아,1523
2022,02,터키,1502
2022,02,가나,1097
2022,02,모로코,1277
2022,02,이란,1173
2022,02,라오스,1163
2022,02,예멘공화국,1057
2022,02,사우디아라비아,821
2022,02,에티오피아,996
2022,02,이탈리아,826
2022,02,카메룬,834
2022,02,브라질,1013
2022,02,뉴질랜드,675
2022,02,스페인,846
2022,02,싱가포르,658
2022,02,네덜란드,483
2022,02,아일랜드,615
2022,02,멕시코,657
2022,02,아랍에미리트연합,313
2022,02,타지키스탄,612
2022,02,라이베리아,467
2022,02,우간다,471
2022,02,알제리,419
2022,02,스웨덴,413
2022,02,리비아,523
2022,02,폴란드,414
2022,02,콜롬비아,445
2022,02,케냐,374
2022,02,세네갈,305
2022,02,페루,398
2022,02,아프가니스탄,786
2022,02,벨기에,355
2022,02,이라크,391
2022,02,요르단,408
2022,02,투르크메니스탄,239
2022,02,튀니지,274
2022,02,노르웨이,234
2022,02,기니,261
2022,02,수단,260
2022,02,탄자니아,285
2022,02,스위스,284
2022,02,르완다,254
2022,02,에콰도르,209
2022,02,덴마크,215
2022,02,벨로루시,224
2022,02,콩고민주공화국,241
2022,02,그리스,203
2022,02,말리,201
2022,02,오스트리아,194
2022,02,루마니아,235
2022,02,아제르바이잔,221
2022,02,핀란드,175
2022,02,칠레,182
2022,02,헝가리,159
2022,02,베네수엘라,152
2022,02,코트디부아르,170
2022,02,이스라엘,167
2022,02,앙골라,136
2022,02,포르투갈,141
2022,02,감비아,124
2022,02,체코,120
2022,02,불가리아,127
2022,02,아르헨티나,163
2022,02,무국적,101
2022,02,부룬디,134
2022,02,마카오,79
2022,02,짐바브웨,95
2022,02,잠비아,88
2022,02,리투아니아,91
2022,02,쿠웨이트,50
2022,02,파라과이,78
2022,02,과테말라,69
2022,02,시에라리온,77
2022,02,볼리비아,57
2022,02,도미니카공화국,64
2022,02,브루나이,57
2022,02,가봉,71
2022,02,피지,40
2022,02,아르메니아,69
2022,02,크로아티아,72
2022,02,엘살바도르,49
2022,02,파나마,67
2022,02,모잠비크,55
2022,02,팔레스타인,57
2022,02,조지아,76
2022,02,코스타리카,63
2022,02,슬로바크,62
2022,02,미등록국가,36
2022,02,토고,41
2022,02,영국외지민,67
2022,02,세르비아,61
2022,02,온두라스,42
2022,02,부르키나파소,43
2022,02,자메이카,37
2022,02,몰도바,44
2022,02,라트비아,62
2022,02,쿠바,33
2022,02,슬로베니아,39
2022,02,오만,32
2022,02,레바논,34
2022,02,에스토니아,36
2022,02,부탄,38
2022,02,아이티,33
2022,02,마다가스카르,27
2022,02,니카라과,35
2022,02,베냉,15
2022,02,우루과이,29
2022,02,콩고,21
2022,02,국제연합,34
2022,02,보츠와나,17
2022,02,말라위,23
2022,02,카타르,37
2022,02,알바니아,24
2022,02,모리셔스,11
2022,02,트리니다드토바고,19
2022,02,키리바시,1
2022,02,룩셈부르크,16
2022,02,기니비사우,19
2022,02,바레인,7
2022,02,키프로스,19
2022,02,에스와티니,12
2022,02,소말리아,21
2022,02,남수단공화국,27
2022,02,차드,11
2022,02,에리트레아,13
2022,02,아이슬란드,9
2022,02,세인트크리스토퍼네비스,9
2022,02,모리타니,10
2022,02,솔로몬군도,3
2022,02,마케도니아,13
2022,02,중앙아프리카공화국,6
2022,02,보스니아헤르체고비나,8
2022,02,몰타,7
2022,02,니제르,7
2022,02,적도기니,7
2022,02,바하마,4
2022,02,몬테네그로,9
2022,02,코소보,2
2022,02,바누아투,7
2022,02,레소토,4
2022,02,코모로,1
2022,02,몰디브,2
2022,02,팔라우,2
2022,02,벨리즈,5
2022,02,도미니카연방,6
2022,02,나미비아,2
2022,02,파푸아뉴기니,5
2022,02,통가,1
2022,02,바베이도스,3
2022,02,나우루,2
2022,02,지부티,1
2022,02,수리남,2
2022,02,세인트루시아,2
2022,02,세이셸,2
2022,02,가이아나,4
2022,02,교황청,2
2022,02,마샬군도,1
2022,02,세인트빈센트그레나딘,1
2022,02,영국속령지시민,1
2022,02,영국외지시민,1
2022,02,홍콩거주난민,1
2022,03,한국계중국인,249056
2022,03,베트남,175189
2022,03,중국,169300
2022,03,우즈베키스탄,42695
2022,03,캄보디아,40487
2022,03,필리핀,37930
2022,03,네팔,35749
2022,03,태국,32016
2022,03,인도네시아,31598
2022,03,미국,29949
2022,03,일본,24603
2022,03,미얀마,24597
2022,03,몽골,24402
2022,03,스리랑카,19071
2022,03,타이완,17714
2022,03,러시아연방,13982
2022,03,방글라데시,13629
2022,03,카자흐스탄,13220
2022,03,인도,10247
2022,03,파키스탄,10239
2022,03,영국,4830
2022,03,키르기즈,4277
2022,03,캐나다,4198
2022,03,프랑스,4022
2022,03,말레이시아,3444
2022,03,남아프리카공화국,2688
2022,03,독일,2621
2022,03,이집트,2472
2022,03,나이지리아,2443
2022,03,우크라이나,2417
2022,03,티모르민주공화국,2392
2022,03,홍콩,1957
2022,03,오스트레일리아,1687
2022,03,터키,1581
2022,03,시리아,1527
2022,03,모로코,1298
2022,03,이란,1195
2022,03,라오스,1191
2022,03,가나,1098
2022,03,브라질,1087
2022,03,예멘공화국,1057
2022,03,에티오피아,1010
2022,03,이탈리아,938
2022,03,스페인,929
2022,03,카메룬,825
2022,03,사우디아라비아,803
2022,03,아프가니스탄,800
2022,03,멕시코,771
2022,03,싱가포르,733
2022,03,뉴질랜드,674
2022,03,네덜란드,646
2022,03,타지키스탄,628
2022,03,아일랜드,619
2022,03,리비아,552
2022,03,스웨덴,490
2022,03,우간다,478
2022,03,라이베리아,465
2022,03,콜롬비아,458
2022,03,폴란드,454
2022,03,요르단,422
2022,03,알제리,422
2022,03,페루,416
2022,03,이라크,397
2022,03,벨기에,397
2022,03,케냐,388
2022,03,아랍에미리트연합,343
2022,03,스위스,310
2022,03,세네갈,309
2022,03,탄자니아,293
2022,03,튀니지,281
2022,03,핀란드,272
2022,03,기니,263
2022,03,수단,260
2022,03,노르웨이,252
2022,03,르완다,251
2022,03,투르크메니스탄,244
2022,03,콩고민주공화국,242
2022,03,루마니아,237
2022,03,아제르바이잔,234
2022,03,벨로루시,231
2022,03,덴마크,229
2022,03,오스트리아,222
2022,03,에콰도르,215
2022,03,그리스,204
2022,03,말리,203
2022,03,칠레,200
2022,03,헝가리,174
2022,03,아르헨티나,172
2022,03,이스라엘,168
2022,03,코트디부아르,168
2022,03,체코,155
2022,03,포르투갈,155
2022,03,베네수엘라,151
2022,03,부룬디,139
2022,03,불가리아,136
2022,03,앙골라,136
2022,03,감비아,124
2022,03,리투아니아,108
2022,03,무국적,101
