년,월,체류자격,등록외국인 수
2022,12,기술지도E4,214
2022,12,전문직업E5,238
2022,12,예술흥행E6,3607
2022,12,특정활동E7,23650
2022,12,계절근로E8,3400
2022,12,비전문취업E9,251654
2022,12,선원취업E10,19295
2022,12,방문동거F1,101107
2022,12,거주F2,44284
2022,12,동반F3,24234
2022,12,영주F5,175873
2022,12,결혼이민F6,134278
2022,12,방문취업H2,102907
2022,12,기타,79986
2023,01,문화예술D1,38
2023,01,유학D2,132282
2023,01,일반연수D4,61045
2023,01,종교D6,1425
2023,01,상사주재D7,1094
2023,01,기업투자D8,6785
2023,01,무역경영D9,2063
2023,01,교수E1,1975
2023,01,회화지도E2,13916
2023,01,연구E3,3825
2023,01,기술지도E4,212
2023,01,전문직업E5,236
2023,01,예술흥행E6,3551
2023,01,특정활동E7,24139
2023,01,계절근로E8,3395
2023,01,비전문취업E9,254508
2023,01,선원취업E10,19636
2023,01,방문동거F1,101627
2023,01,거주F2,44709
2023,01,동반F3,24487
2023,01,영주F5,177413
2023,01,결혼이민F6,135136
2023,01,방문취업H2,100929
2023,01,기타,80825
2023,02,문화예술D1,33
2023,02,유학D2,131642
2023,02,일반연수D4,56896
2023,02,종교D6,1420
2023,02,상사주재D7,1098
2023,02,기업투자D8,6876
2023,02,무역경영D9,2090
2023,02,교수E1,1981
2023,02,회화지도E2,13540
2023,02,연구E3,3920
2023,02,기술지도E4,210
2023,02,전문직업E5,237
2023,02,예술흥행E6,3587
2023,02,특정활동E7,25268
2023,02,계절근로E8,3172
2023,02,비전문취업E9,257675
2023,02,선원취업E10,19680
2023,02,방문동거F1,101962
2023,02,거주F2,45077
2023,02,동반F3,24652
2023,02,영주F5,178550
2023,02,결혼이민F6,135768
2023,02,방문취업H2,99864
2023,02,기타,83195
2023,03,문화예술D1,31
2023,03,유학D2,140671
2023,03,일반연수D4,57959
2023,03,종교D6,1401
2023,03,상사주재D7,1096
2023,03,기업투자D8,6963
2023,03,무역경영D9,2145
2023,03,교수E1,1991
2023,03,회화지도E2,13590
2023,03,연구E3,3966
2023,03,기술지도E4,212
2023,03,전문직업E5,238
2023,03,예술흥행E6,3721
2023,03,특정활동E7,26488
2023,03,계절근로E8,3350
2023,03,비전문취업E9,263256
2023,03,선원취업E10,19614
2023,03,방문동거F1,102360
2023,03,거주F2,45562
2023,03,동반F3,24946
2023,03,영주F5,179376
2023,03,결혼이민F6,136404
2023,03,방문취업H2,100303
2023,03,기타,86042
2023,04,문화예술D1,39
2023,04,유학D2,140618
2023,04,일반연수D4,62110
2023,04,종교D6,1406
2023,04,상사주재D7,1104
2023,04,기업투자D8,7088
2023,04,무역경영D9,2160
2023,04,교수E1,1991
2023,04,회화지도E2,13694
2023,04,연구E3,3858
2023,04,기술지도E4,213
2023,04,전문직업E5,232
2023,04,예술흥행E6,3820
2023,04,특정활동E7,28081
2023,04,계절근로E8,5589
2023,04,비전문취업E9,266425
2023,04,선원취업E10,19135
2023,04,방문동거F1,102721
2023,04,거주F2,46582
2023,04,동반F3,25028
2023,04,영주F5,180133
2023,04,결혼이민F6,136994
2023,04,방문취업H2,101379
2023,04,기타,87216
2023,05,문화예술D1,42
2023,05,유학D2,141862
2023,05,일반연수D4,62644
2023,05,종교D6,1431
2023,05,상사주재D7,1123
2023,05,기업투자D8,7166
2023,05,무역경영D9,2273
2023,05,교수E1,1996
2023,05,회화지도E2,13735
2023,05,연구E3,3876
2023,05,기술지도E4,213
2023,05,전문직업E5,230
2023,05,예술흥행E6,3946
2023,05,특정활동E7,28814
2023,05,계절근로E8,9794
2023,05,비전문취업E9,271975
2023,05,선원취업E10,19110
2023,05,방문동거F1,103788
2023,05,거주F2,47514
2023,05,동반F3,25527
2023,05,영주F5,181015
2023,05,결혼이민F6,137479
2023,05,방문취업H2,101844
2023,05,기타,88211
2023,06,문화예술D1,40
2023,06,유학D2,138686
2023,06,일반연수D4,64904
2023,06,종교D6,1425
2023,06,상사주재D7,1126
2023,06,기업투자D8,7214
2023,06,무역경영D9,2285
2023,06,교수E1,1962
2023,06,회화지도E2,13693
2023,06,연구E3,3832
2023,06,기술지도E4,208
2023,06,전문직업E5,229
2023,06,예술흥행E6,3982
2023,06,특정활동E7,29313
2023,06,계절근로E8,13096
