국  적,성별,0세~4세,5세~9세,10세~14세,15세~19세,20세~24세,25세~29세,30세~34세,35세~39세,40세~44세,45세~49세,50세~54세,55세~59세,60세~64세,65세~69세,70세~74세,75세~79세,80세이상
앤티카 바부다,여,0,1,0,1,3,8,6,0,7,5,2,0,2,0,0,0,0
세인트빈센트 그레나딘,남,0,0,0,0,0,1,4,2,2,3,1,0,0,0,0,1,0
세인트빈센트 그레나딘,여,0,0,0,0,4,1,2,3,0,2,1,0,1,0,1,0,0
세인트루시아,남,0,0,0,0,1,4,2,6,3,3,5,2,2,1,0,0,0
세인트루시아,여,0,0,0,0,1,5,2,4,8,3,0,0,1,0,0,0,0
수  리  남,남,0,0,1,1,1,7,3,3,5,4,2,2,1,0,0,1,0
수  리  남,여,0,1,0,0,3,10,6,4,2,0,1,3,3,0,0,0,0
벨  리  즈,남,0,0,0,1,2,2,3,4,3,2,3,0,1,0,0,0,0
벨  리  즈,여,0,0,0,0,5,2,4,4,4,3,0,0,1,1,0,0,0
미국인근섬,남,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0
미국인근섬,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영령 버진아일랜드,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영령 버진아일랜드,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남조지아 남샌드위치 군도,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남조지아 남샌드위치 군도,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
러시아(연방),남,3316,3384,3520,3614,9521,15547,18074,14864,12589,10883,9051,6640,3743,1857,592,192,69
러시아(연방),여,3182,3591,4664,7302,15646,16024,13992,10942,9322,7639,6160,5439,3682,2134,735,311,98
영      국,남,1035,934,854,1612,5103,9107,9165,8777,7810,8305,8216,7371,4801,3087,1847,664,264
영      국,여,858,823,1125,2423,5752,6198,4855,3549,2829,3027,3206,3437,2797,2175,1273,446,175
독      일,남,771,537,685,1438,4709,7345,9275,9427,8278,10277,10459,6532,3315,1489,881,501,160
독      일,여,734,554,770,2573,5182,4210,3326,2441,1740,1958,2200,1542,1321,1343,700,363,112
프  랑  스,남,779,792,904,1769,5786,7694,7435,7002,6807,6231,5237,3695,2193,1141,699,271,130
프  랑  스,여,780,784,1061,3357,6866,5518,3336,2489,2260,2232,2112,1642,1173,835,470,197,90
이 탈 리 아,남,141,94,163,321,1287,2691,3566,3714,4393,4030,3224,2194,1189,638,398,153,59
이 탈 리 아,여,190,133,194,501,1282,1468,1334,928,951,832,903,582,406,361,163,92,24
네 덜 란 드,남,179,168,212,592,2211,2461,2324,2241,2359,2753,2728,1897,1091,569,304,82,27
네 덜 란 드,여,152,184,280,902,1817,1387,976,640,678,796,744,609,436,288,151,48,19
스  페  인,남,133,108,227,243,1141,2016,2419,2480,2502,1756,1236,830,563,311,213,91,26
스  페  인,여,128,126,157,427,1451,1492,1325,1017,821,641,568,480,372,226,171,59,28
우크라이나,남,53,57,106,237,1066,1445,1521,1130,961,778,623,499,214,66,29,4,0
우크라이나,여,60,52,99,355,764,649,491,324,281,196,181,150,92,50,18,2,2
폴  란  드,남,56,43,66,134,697,1389,1832,1616,1264,850,532,504,352,180,64,8,1
폴  란  드,여,62,46,115,441,1119,1078,885,659,472,304,227,187,157,92,45,6,1
한국계 러시아인,남,109,115,89,235,971,1555,1737,1741,1382,1070,691,626,614,320,63,14,10
한국계 러시아인,여,119,111,123,277,858,1130,1203,1347,1255,944,903,980,890,437,95,28,4
스  웨  덴,남,150,106,145,303,1213,1481,1350,1293,1337,1384,1343,998,577,272,180,66,16
스  웨  덴,여,112,135,159,582,1450,1052,633,459,511,530,491,381,213,130,118,37,11
스  위  스,남,134,99,137,256,964,1435,1347,1138,1130,1318,1424,990,694,363,221,113,49
스  위  스,여,95,122,153,465,933,857,567,364,354,452,505,447,329,208,134,65,23
핀  란  드,남,51,25,55,137,620,643,699,802,937,779,723,597,344,123,72,18,4
핀  란  드,여,52,37,70,303,829,668,345,280,239,229,301,210,148,66,43,14,1
노 르 웨 이,남,84,94,102,237,765,1014,1065,828,918,1255,1141,910,645,241,126,36,6
노 르 웨 이,여,83,90,95,397,751,512,339,268,284,350,290,239,173,97,55,17,5
오스트리아,남,35,42,52,118,579,933,1062,1064,936,965,945,700,396,194,111,70,24
오스트리아,여,22,20,53,277,657,534,319,217,164,225,260,201,160,136,66,39,5
벨  기  에,남,66,63,94,171,574,957,888,884,845,1013,953,664,339,158,109,34,15
벨  기  에,여,55,49,75,281,720,506,329,244,273,267,290,213,141,95,86,18,8
덴  마  크,남,47,74,90,237,748,765,654,680,940,978,1128,584,374,155,107,26,12
덴  마  크,여,61,56,128,397,732,449,263,226,228,239,257,143,104,87,74,9,6
루 마 니 아,남,22,23,23,53,194,600,715,676,449,495,291,240,111,36,8,9,3
루 마 니 아,여,19,29,26,87,266,496,389,299,163,111,93,57,52,27,14,3,2
포 르 투 갈,남,33,66,99,149,381,549,606,722,627,517,415,339,217,139,51,17,13
포 르 투 갈,여,27,50,132,321,603,688,557,545,440,394,402,333,224,106,43,10,9
체      코,남,52,46,51,121,338,683,694,777,684,458,371,249,182,105,50,16,3
체      코,여,44,47,69,165,463,454,321,274,243,194,171,124,115,94,37,5,1
그  리  스,남,17,17,15,111,264,511,861,852,771,595,525,424,323,155,57,8,8
그  리  스,여,8,9,10,38,118,183,165,121,102,80,68,62,54,23,7,3,1
아 일 랜 드,남,64,54,41,59,411,784,924,777,625,625,547,303,228,106,65,25,10
아 일 랜 드,여,65,30,72,93,384,542,317,274,206,159,148,152,97,69,42,17,4
불 가 리 아,남,7,6,15,47,119,257,285,256,296,222,220,187,86,47,14,3,1
불 가 리 아,여,6,6,29,108,165,190,162,132,119,82,77,66,48,30,12,0,1
크로아티아,남,7,8,12,23,131,389,325,449,405,305,277,220,152,32,9,1,4
크로아티아,여,4,10,11,33,87,109,86,73,71,54,45,22,20,7,5,1,0
영국 보호민,남,0,0,0,0,209,381,399,348,238,216,183,117,65,44,15,4,2
영국 보호민,여,0,0,0,1,307,641,618,445,301,245,204,149,78,45,18,4,5
헝  가  리,남,11,24,30,53,181,374,386,368,354,288,162,88,80,41,30,10,4
헝  가  리,여,17,5,44,121,291,323,228,134,140,117,82,43,51,31,17,2,0
슬 로 바 크,남,16,9,40,52,128,317,373,376,314,169,130,104,63,24,3,3,0
슬 로 바 크,여,16,10,8,73,172,191,177,117,103,70,48,36,46,8,1,2,0
세르비아,남,6,12,5,15,107,254,258,200,131,90,67,67,30,16,9,1,0
